district,crop_name,season,area_ha
Nuwakot,Chickpea,Annual,28.0
Nuwakot,Lentil,Annual,46.0
Nuwakot,Maize,Annual,16217.0
Nuwakot,Millet,Annual,5114.0
Nuwakot,Paddy,Barkhe (Main),11612.0
Nuwakot,Paddy,Chaite (Early),6255.0
Nuwakot,Pigeon Pea,Annual,3.0
Nuwakot,Potato,Annual,4490.0
Nuwakot,Soybean,Annual,415.0
Nuwakot,Sugarcane,Annual,52.0
Nuwakot,Wheat,Annual,4493.0
Okhaldhunga,Barley,Annual,80.0
Okhaldhunga,Black Gram,Annual,573.0
Okhaldhunga,Buckwheat,Annual,93.0
Okhaldhunga,Lentil,Annual,7.0
Okhaldhunga,Maize,Annual,12400.0
Okhaldhunga,Millet,Annual,7751.0
Okhaldhunga,Paddy,Barkhe (Main),3803.0
Okhaldhunga,Paddy,Chaite (Early),245.0
Okhaldhunga,Potato,Annual,2944.0
Okhaldhunga,Soybean,Annual,128.0
Okhaldhunga,Sugarcane,Annual,4.0
Okhaldhunga,Wheat,Annual,2145.0
Palpa,Barley,Annual,110.0
Palpa,Black Gram,Annual,55.0
Palpa,Buckwheat,Annual,210.0
Palpa,Chickpea,Annual,45.0
Palpa,Lentil,Annual,115.0
Palpa,Maize,Annual,21862.0
Palpa,Millet,Annual,2363.0
Palpa,Paddy,Barkhe (Main),7389.0
Palpa,Paddy,Chaite (Early),700.0
Palpa,Pigeon Pea,Annual,37.0
Palpa,Potato,Annual,810.0
Palpa,Soybean,Annual,311.0
Palpa,Sugarcane,Annual,5.0
Palpa,Wheat,Annual,5765.0
Panchthar,Barley,Annual,302.0
Panchthar,Black Gram,Annual,721.0
Panchthar,Buckwheat,Annual,50.0
Panchthar,Chickpea,Annual,21.0
Panchthar,Lentil,Annual,405.0
Panchthar,Maize,Annual,18808.0
Panchthar,Millet,Annual,3208.0
Panchthar,Paddy,Barkhe (Main),5615.0
Panchthar,Paddy,Chaite (Early),2184.0
Panchthar,Pigeon Pea,Annual,7.5
Panchthar,Potato,Annual,2526.0
Panchthar,Soybean,Annual,625.0
Panchthar,Sugarcane,Annual,3.0
Panchthar,Wheat,Annual,3725.0
Parbat,Barley,Annual,53.0
Parbat,Black Gram,Annual,130.0
Parbat,Buckwheat,Annual,81.0
Parbat,Chickpea,Annual,17.0
Parbat,Lentil,Annual,62.0
Parbat,Maize,Annual,13600.0
Parbat,Millet,Annual,7340.0
Parbat,Paddy,Barkhe (Main),7525.0
Parbat,Paddy,Chaite (Early),100.0
Parbat,Pigeon Pea,Annual,9.0
Parbat,Potato,Annual,1390.0
Parbat,Soybean,Annual,91.0
Parbat,Wheat,Annual,2220.0
Parsa,Barley,Annual,28.0
Parsa,Black Gram,Annual,80.0
Parsa,Chickpea,Annual,245.0
Parsa,Lentil,Annual,4210.0
Parsa,Maize,Annual,3890.0
Parsa,Millet,Annual,407.0
Parsa,Paddy,Barkhe (Main),47130.0
Parsa,Paddy,Chaite (Early),3500.0
Parsa,Pigeon Pea,Annual,189.0
Parsa,Potato,Annual,3309.0
Parsa,Soybean,Annual,18.0
Parsa,Sugarcane,Annual,3121.0
Parsa,Wheat,Annual,23020.0
Pyuthan,Barley,Annual,544.0
Pyuthan,Black Gram,Annual,315.0
Pyuthan,Buckwheat,Annual,61.0
Pyuthan,Chickpea,Annual,75.0
Pyuthan,Lentil,Annual,136.0
Pyuthan,Maize,Annual,12140.0
