district,crop_name,avg_yield_mt_ha,avg_production_mt
Nuwakot,Chickpea,0.82,23.0
Nuwakot,Lentil,1.0,46.0
Nuwakot,Maize,3.05,49462.0
Nuwakot,Millet,1.42,7262.0
Nuwakot,Paddy,4.18,36766.5
Nuwakot,Pigeon Pea,0.67,2.0
Nuwakot,Potato,18.17,81572.0
Nuwakot,Soybean,1.68,699.0
Nuwakot,Sugarcane,22.5,1170.0
Nuwakot,Wheat,3.57,16040.0
Okhaldhunga,Barley,1.56,125.0
Okhaldhunga,Black Gram,0.92,530.0
Okhaldhunga,Buckwheat,0.85,79.0
Okhaldhunga,Lentil,0.45,3.15
Okhaldhunga,Maize,3.4,42160.0
Okhaldhunga,Millet,1.61,12517.0
Okhaldhunga,Paddy,3.36,5272.0
Okhaldhunga,Potato,15.7,46220.0
Okhaldhunga,Soybean,1.09,140.0
Okhaldhunga,Sugarcane,9.0,32.0
Okhaldhunga,Wheat,1.9,4076.0
Palpa,Barley,1.13,124.3
Palpa,Black Gram,0.92,51.0
Palpa,Buckwheat,1.11,233.1
Palpa,Chickpea,0.92,41.0
Palpa,Lentil,0.92,106.0
Palpa,Maize,3.46,75661.0
Palpa,Millet,1.31,3101.0
Palpa,Paddy,3.88,17930.0
Palpa,Pigeon Pea,0.88,33.0
Palpa,Potato,15.23,12336.0
Palpa,Soybean,1.24,386.0
Palpa,Sugarcane,47.9,240.0
Palpa,Wheat,2.85,16430.0
Panchthar,Barley,1.3,393.0
Panchthar,Black Gram,1.1,793.1
Panchthar,Buckwheat,0.74,37.0
Panchthar,Chickpea,0.71,14.91
Panchthar,Lentil,1.18,477.9
Panchthar,Maize,3.6,67709.0
Panchthar,Millet,2.0,6416.0
Panchthar,Paddy,3.44,11568.0
Panchthar,Pigeon Pea,1.1,8.25
Panchthar,Potato,17.18,43396.0
Panchthar,Soybean,1.3,813.0
Panchthar,Sugarcane,10.0,25.0
Panchthar,Wheat,1.62,6035.0
Parbat,Barley,1.02,54.0
Parbat,Black Gram,1.02,133.0
Parbat,Buckwheat,1.23,100.0
Parbat,Chickpea,1.0,17.0
Parbat,Lentil,1.11,69.0
Parbat,Maize,2.44,33120.0
Parbat,Millet,1.07,7850.0
Parbat,Paddy,4.14,13300.0
Parbat,Pigeon Pea,1.0,9.0
Parbat,Potato,14.63,20330.0
Parbat,Soybean,1.03,94.0
Parbat,Wheat,2.35,5220.0
Parsa,Barley,1.3,37.0
Parsa,Black Gram,1.0,80.0
Parsa,Chickpea,1.21,296.0
Parsa,Lentil,1.24,5220.0
Parsa,Maize,4.01,15599.0
Parsa,Millet,1.0,440.0
Parsa,Paddy,4.8,108423.0
Parsa,Pigeon Pea,1.09,206.0
Parsa,Potato,17.34,57378.0
Parsa,Soybean,1.41,25.0
Parsa,Sugarcane,54.01,168565.0
Parsa,Wheat,3.73,85865.0
Pyuthan,Barley,1.08,587.5
Pyuthan,Black Gram,0.94,296.0
Pyuthan,Buckwheat,1.09,66.7
Pyuthan,Chickpea,1.08,81.0
Pyuthan,Lentil,0.93,127.0
Pyuthan,Maize,3.3,40097.0
Pyuthan,Millet,1.32,2488.0
Pyuthan,Paddy,4.09,11976.0
Pyuthan,Potato,15.85,26621.0
Pyuthan,Soybean,1.31,329.0
Pyuthan,Sugarcane,48.67,487.0
Pyuthan,Wheat,2.9,25087.0
Ramechhap,Barley,1.35,82.0
Ramechhap,Black Gram,1.02,121.0
Ramechhap,Buckwheat,0.83,15.0
Ramechhap,Chickpea,0.71,23.0
Ramechhap,Lentil,1.04,37.0
Ramechhap,Maize,2.9,64290.0
Ramechhap,Millet,1.12,5472.0
Ramechhap,Paddy,2.78,9804.5
Ramechhap,Pigeon Pea,0.5,2.0
Ramechhap,Potato,15.28,50210.0
Ramechhap,Soybean,1.3,1075.0
Ramechhap,Wheat,2.22,8163.0
Rasuwa,Barley,1.36,329.0
Rasuwa,Black Gram,1.01,157.0
Rasuwa,Buckwheat,0.9,19.0
Rasuwa,Chickpea,1.1,211.0
Rasuwa,Lentil,0.99,245.0
Rasuwa,Maize,2.53,6401.0
Rasuwa,Millet,1.13,1014.0
Rasuwa,Paddy,2.88,1384.5
Rasuwa,Pigeon Pea,1.0,2.0
Rasuwa,Potato,16.15,42466.0
Rasuwa,Soybean,1.37,500.0
Rasuwa,Wheat,1.62,1231.0
Rautahat,Barley,1.5,3.0
Rautahat,Black Gram,1.06,11.0
Rautahat,Chickpea,1.4,210.0
Rautahat,Lentil,1.15,17900.0
Rautahat,Maize,4.18,20700.0
Rautahat,Millet,1.0,25.0
Rautahat,Paddy,3.64,59456.5
Rautahat,Pigeon Pea,1.04,63.0
Rautahat,Potato,18.66,41060.0
Rautahat,Soybean,1.42,4.0
Rautahat,Sugarcane,60.61,171200.0
Rautahat,Wheat,3.93,58200.0
Rolpa,Barley,1.18,637.2
Rolpa,Black Gram,0.93,138.0
Rolpa,Buckwheat,1.07,97.3
Rolpa,Chickpea,0.78,23.0
Rolpa,Lentil,0.78,59.0
Rolpa,Maize,3.13,39724.0
Rolpa,Millet,1.31,1618.0
Rolpa,Paddy,2.86,12993.0
Rolpa,Pigeon Pea,0.9,5.0
Rolpa,Potato,16.84,35109.0
Rolpa,Soybean,1.26,379.0
Rolpa,Sugarcane,45.07,135.0
Rolpa,Wheat,2.5,21225.0
Rukum East,Barley,1.29,737.0
Rukum East,Black Gram,0.98,70.0
Rukum East,Buckwheat,1.16,52.0
Rukum East,Chickpea,0.81,11.0
Rukum East,Lentil,0.92,64.0
Rukum East,Maize,3.3,16641.0
Rukum East,Millet,1.31,458.0
Rukum East,Paddy,3.12,2558.0
Rukum East,Pigeon Pea,0.8,1.0
Rukum East,Potato,16.96,19077.0
Rukum East,Soybean,1.21,183.0
Rukum East,Sugarcane,43.45,87.0
